candidate_index,episode,risk_offset_x_m,risk_offset_y_m,passed,settle_max_relative_drift_m,settle_max_relative_rotation_deg,settle_max_linear_speed_m_s,settle_max_angular_speed_rad_s,settle_full_window_finite,wait_max_relative_drift_m,wait_max_relative_rotation_deg,wait_max_relative_linear_speed_m_s,wait_max_relative_angular_speed_rad_s,wait_max_world_linear_speed_m_s,wait_max_world_angular_speed_rad_s,wait_max_anchor_excess_m,wait_full_window_finite,full_window_inside,full_window_support,forbidden_target_contact,forbidden_robot_contact,occupant_pixels_t0,occupant_pixels_policy_start,max_non_occupant_state_diff
3,6,-0.005,0.0,1,1.7481945366474472e-12,6.830189170012755e-06,2.34690716509666e-12,6.382997023135526e-14,1,2.498160425524599e-06,0.001967065577052607,5.008960140156375e-05,0.0006981899920531615,0.489874501356109,0.1771871372475971,8.665967186968279e-06,1,1,1,0,0,178,174,0.0
3,7,-0.005,0.0,1,1.7570045034564647e-12,3.1945284701301985e-06,2.3461403705528025e-12,5.0683619688977215e-14,1,2.4981604260839476e-06,0.001967065577052607,5.0089601398312736e-05,0.0006981899920531615,0.4898745013560776,0.17718713724767285,8.665967187008476e-06,1,1,1,0,0,190,201,0.0
4,0,0.0,-0.005,1,2.3670247275499414e-12,0.0,3.167616516227634e-12,6.532824853885442e-14,1,0.00011573406082775791,0.08514512642334421,0.002317241288285344,0.029711616581746314,0.48987451618352734,0.2663104697873292,8.588294246187608e-06,1,1,1,0,0,180,164,0.0
4,1,0.0,-0.005,1,2.367035551202819e-12,0.0,3.167634181137199e-12,6.121974825385593e-14,1,0.00011573405668639352,0.08514511145866809,0.0023172412052552124,0.02971161135340487,0.48987451618358785,0.2663104527725111,8.588295388422225e-06,1,1,1,0,0,182,169,0.0
4,2,0.0,-0.005,1,2.3670255898321773e-12,0.0,3.1676253350990328e-12,6.501917311271795e-14,1,0.00011573405514308523,0.08514510564572968,0.0023172411743145314,0.029711609314680282,0.48987451618362365,0.26631044619834937,8.588295827521958e-06,1,1,1,0,0,181,166,0.0
4,3,0.0,-0.005,1,2.367024875685422e-12,0.0,3.1676184731798784e-12,6.524629464879469e-14,1,0.00011573405767220231,0.08514511476322495,0.002317241225022485,0.029711612504297717,0.48987451618357897,0.26631045659826286,8.588295127903042e-06,1,1,1,0,0,173,178,0.0
4,4,0.0,-0.005,1,2.367028209585805e-12,0.0,3.167871099380332e-12,6.846957053040315e-14,1,0.00011573406056460743,0.08514512536177687,0.0023172412830104396,0.029711616214058524,0.4898745161834931,0.26631046870207353,8.588294318937941e-06,1,1,1,0,0,173,177,0.0
4,5,0.0,-0.005,1,2.3670243834690154e-12,0.0,3.1676248648706097e-12,6.533698450611058e-14,1,0.00011573406184280961,0.08514513013026873,0.002317241308637772,0.029711617882105544,0.48987451618346484,0.2663104740879633,8.588293958015701e-06,1,1,1,0,0,176,171,0.0
4,6,0.0,-0.005,1,2.3670235536305973e-12,0.0,3.1676198907549833e-12,6.491546679397863e-14,1,0.00011573406020703151,0.08514512414611106,0.0023172412758442735,0.029711615783594766,0.4898745161835355,0.26631046730772856,8.588294413048738e-06,1,1,1,0,0,174,175,0.0
4,7,0.0,-0.005,1,2.367027430621668e-12,0.0,3.167623819801702e-12,6.526375563121795e-14,1,0.00011573406263363335,0.08514513296396842,0.002317241324494999,0.029711618865595583,0.4898745161834664,0.2663104772837837,8.588293742946221e-06,1,1,1,0,0,178,188,0.0
