candidate_index,episode,risk_offset_x_m,risk_offset_y_m,safe_candidate_index,safe_offset_x_m,safe_offset_y_m,passed,native_success,occupant_max_relative_drift_m,occupant_max_relative_rotation_deg,target_min_occupant_clearance_m,target_max_tilt_deg,target_max_linear_speed_m_s,target_max_angular_speed_rad_s,target_full_window_inside,target_full_window_support,target_full_window_finite,target_final_stable_streak
2,7,-0.005,-0.01,1,0.055,0.0,0,1,0.027176101675546332,16.87312382226278,0.05656437557811396,90.00066348710996,7.913971839087238e-12,1.0922870340582542e-13,1,1,1,0
2,0,-0.005,-0.01,2,0.0,0.055,0,0,0.029220662426426975,19.536432837092462,0.08481776852524607,92.04857833601322,1.382029737761537e-07,3.192700262343999e-06,1,1,1,0
2,1,-0.005,-0.01,2,0.0,0.055,0,0,0.029220662426424907,19.53643283708466,0.08481776852524801,92.0485783360026,1.3820297329395438e-07,3.1927002380104123e-06,1,1,1,0
2,2,-0.005,-0.01,2,0.0,0.055,0,0,0.02922066242642404,19.53643283708314,0.08481776852524442,92.0485783360011,1.382029735942206e-07,3.192700188948942e-06,1,1,1,0
2,3,-0.005,-0.01,2,0.0,0.055,0,0,0.029220662426407425,19.536432837077164,0.0848177685252427,92.04857833598723,1.3820297429568027e-07,3.1927002540023457e-06,1,1,1,0
2,4,-0.005,-0.01,2,0.0,0.055,0,0,0.029220662426289505,19.536432837026872,0.0848177685252177,92.04857833591336,1.382029736036854e-07,3.1927002100627017e-06,1,1,1,0
2,5,-0.005,-0.01,2,0.0,0.055,0,0,0.029220662426277275,19.536432837021692,0.08481776852521462,92.04857833589583,1.3820297295019467e-07,3.1927002217346387e-06,1,1,1,0
2,6,-0.005,-0.01,2,0.0,0.055,0,0,0.0292206624262549,19.536432837009638,0.08481776852521676,92.04857833587253,1.3820297326920085e-07,3.1927001956650533e-06,1,1,1,0
2,7,-0.005,-0.01,2,0.0,0.055,0,0,0.029220662426409114,19.53643283707975,0.08481776852523784,92.04857833599533,1.3820297343094492e-07,3.1927001681587117e-06,1,1,1,0
2,0,-0.005,-0.01,3,0.038891,-0.038891,0,1,0.028035438740362836,13.97587325540745,0.04578715988971046,90.00071407898731,1.2176765472746464e-11,1.6102619489295547e-13,1,1,1,0
2,1,-0.005,-0.01,3,0.038891,-0.038891,0,1,0.028035438740416852,13.97587325546276,0.04578715988994688,90.00071407898723,1.2177026437687946e-11,1.642243020491844e-13,1,1,1,0
2,2,-0.005,-0.01,3,0.038891,-0.038891,0,1,0.028035438740353493,13.97587325539744,0.045787159889617034,90.00071407898727,1.2176486154041496e-11,1.5807412589550491e-13,1,1,1,0
2,3,-0.005,-0.01,3,0.038891,-0.038891,0,1,0.028035438740358815,13.975873255403497,0.045787159889679296,90.00071407898729,1.2177187699778355e-11,1.6750500327782874e-13,1,1,1,0
2,4,-0.005,-0.01,3,0.038891,-0.038891,0,1,0.02803543874039107,13.975873255435369,0.04578715988983103,90.00071407898727,1.217800128815768e-11,1.7673557677761715e-13,1,1,1,0
2,5,-0.005,-0.01,3,0.038891,-0.038891,0,1,0.028035438740406104,13.97587325544938,0.04578715988985567,90.00071407898723,1.2176628200164858e-11,1.5950440652172282e-13,1,1,1,0
2,6,-0.005,-0.01,3,0.038891,-0.038891,0,1,0.028035438740359415,13.975873255404078,0.045787159889663344,90.00071407898729,1.2177888821760112e-11,1.7920362275631016e-13,1,1,1,0
2,7,-0.005,-0.01,3,0.038891,-0.038891,0,1,0.028035438740308952,13.975873255353928,0.04578715988950885,90.00071407898737,1.2177966826046054e-11,1.8065906688075057e-13,1,1,1,0
2,0,-0.005,-0.01,4,-0.038891,0.038891,0,0,0.0029127894552023405,5.212398318262206,0.0735680185848997,83.45173294465472,5.822720388884177e-07,1.2690684123990414e-05,1,1,1,0
2,1,-0.005,-0.01,4,-0.038891,0.038891,0,0,0.0029127894552143496,5.212398317925835,0.07356801858510864,83.45173294461392,5.822720391627016e-07,1.2690684166721663e-05,1,1,1,0
2,2,-0.005,-0.01,4,-0.038891,0.038891,0,0,0.002912789455225114,5.212398317700654,0.07356801858525495,83.45173294474486,5.82272039161459e-07,1.2690684062527655e-05,1,1,1,0
2,3,-0.005,-0.01,4,-0.038891,0.038891,0,0,0.002912789455227758,5.2123983190013305,0.0735680185840726,83.45173294546213,5.822720352091175e-07,1.269068394469593e-05,1,1,1,0
